60000
1248, 3
2544, 3
4144, 3
5008, 3
5856, 3
6512, 3
7168, 3
7296, 3
7872, 2
8448, 3
9136, 3
9840, 2
9936, 3
9984, 2
10032, 3
10080, 3
10128, 2
10176, 3
10272, 3
10416, 3
10512, 3
10656, 2
10752, 3
11312, 2
12048, 3
12656, 3
13280, 3
13824, 3
14528, 3
15264, 3
15936, 3
16544, 2
17152, 3
17728, 3
18416, 2
18960, 2
19664, 3
20320, 3
20752, 3
21328, 2
21904, 2
22672, 3
23296, 3
23344, 2
23392, 3
23440, 2
23488, 3
23536, 3
23584, 3
23632, 3
23680, 2
23728, 3
23776, 2
23824, 2
23872, 3
23920, 3
23968, 2
24016, 3
24064, 3
24112, 3
24160, 3
24208, 3
25040, 2
25632, 3
26384, 2
26992, 3
27632, 3
28272, 2
28960, 3
29472, 3
30112, 2
30800, 3
31408, 3
32016, 2
32624, 3
33104, 2
33680, 3
33888, 2
34624, 2
35280, 3
35280, 2
35328, 2
35376, 2
35376, 3
35424, 3
35424, 3
35472, 3
35472, 3
35520, 3
35568, 3
35616, 3
35616, 3
35664, 2
35712, 3
35760, 3
35808, 3
35856, 2
35856, 3
35904, 3
35952, 2
36000, 3
36000, 2
36048, 3
36096, 3
36096, 2
36144, 3
36192, 3
36864, 3
37520, 3
38080, 2
38640, 3
39280, 3
39888, 3
40496, 2
41232, 3
41824, 2
42368, 3
42992, 2
43664, 3
44272, 3
44848, 2
45424, 3
46064, 2
46736, 3
46816, 2
46816, 3
46864, 2
46864, 3
46864, 3
46912, 3
46912, 2
46912, 3
46960, 2
47008, 2
47008, 2
47056, 2
47056, 3
47056, 3
47104, 3
47152, 2
47152, 3
47200, 3
47248, 2
47296, 3
47296, 3
47344, 2
47344, 3
47392, 2
47392, 3
47392, 3
47440, 3
47488, 2
47488, 3
47488, 3
47536, 3
47536, 3
47584, 3
47584, 3
47632, 3
47632, 3
47680, 2
47680, 3
47680, 3
47728, 3
47728, 2
48320, 3
48976, 3
49600, 3
51600, 3
52600, 3
53600, 3
54600, 3
55600, 3
